Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2630","Coffee and products","2018","2018","kcal/capita/day","5","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2633","Cocoa Beans and products","2018","2018","kcal/capita/day","1","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2635","Tea (including mate)","2018","2018","kcal/capita/day","1","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2655","Wine","2018","2018","kcal/capita/day","38","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2656","Beer","2018","2018","kcal/capita/day","79","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2657","Beverages, Fermented","2018","2018","kcal/capita/day","1","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2658","Beverages, Alcoholic","2018","2018","kcal/capita/day","12","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2848","Milk - Excluding Butter","2018","2018","kcal/capita/day","470","Fc","Calculated data"
