Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2612","Lemons, Limes and products","2018","2018","kcal/capita/day","1","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2613","Grapefruit and products","2018","2018","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2614","Citrus, Other","2018","2018","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2615","Bananas","2018","2018","kcal/capita/day","24","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2616","Plantains","2018","2018","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2617","Apples and products","2018","2018","kcal/capita/day","15","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2618","Pineapples and products","2018","2018","kcal/capita/day","5","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2619","Dates","2018","2018","kcal/capita/day","1","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2620","Grapes and products (excl wine)","2018","2018","kcal/capita/day","8","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2625","Fruits, Other","2018","2018","kcal/capita/day","35","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2630","Coffee and products","2018","2018","kcal/capita/day","5","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2633","Cocoa Beans and products","2018","2018","kcal/capita/day","27","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2635","Tea (including mate)","2018","2018","kcal/capita/day","1","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2640","Pepper","2018","2018","kcal/capita/day","1","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2641","Pimento","2018","2018","kcal/capita/day","2","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2642","Cloves","2018","2018","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2645","Spices, Other","2018","2018","kcal/capita/day","3","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2655","Wine","2018","2018","kcal/capita/day","34","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2656","Beer","2018","2018","kcal/capita/day","81","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2657","Beverages, Fermented","2018","2018","kcal/capita/day","1","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2658","Beverages, Alcoholic","2018","2018","kcal/capita/day","19","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2731","Bovine Meat","2018","2018","kcal/capita/day","87","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2732","Mutton & Goat Meat","2018","2018","kcal/capita/day","62","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2733","Pigmeat","2018","2018","kcal/capita/day","119","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2734","Poultry Meat","2018","2018","kcal/capita/day","197","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2735","Meat, Other","2018","2018","kcal/capita/day","3","Fc","Calculated data"
