"ID";"Periods";"CrudeBirthRate_1";"LiveBirthsToTeenageMothers_2";"LiveBirthsTo35Mothers_3";"LiveBirthsTo40Mothers_4";"AllCausesOfDeath_5";"MalignantNeoplasms_6";"DiseasesOfTheCirculatorySystem_7";"DiseasesOfTheRespiratorySystem_8";"DiseasesOfTheDigestiveSystem_9";"RoadAccidentsRelative_10";"RoadAccidents_11";"SuicideSelfInflictedInjuryRelative_12";"SuicideAndSelfInflictedInjury_13";"PregnancyDurationAtLeast24Weeks_14";"PregnancyLastingAtLeast22WksWHO_15";"AtBirthMen_16";"AtBirthWomen_17";"AtAge65Men_18";"AtAge65Women_19";"AtBirthMen_20";"AtBirthWomen_21";"AtAge65Men_22";"AtAge65Women_23";"SelfPerceivedHealthLessThanGood_24";"DigestiveComplaintsOrDiseases_25";"CardiovascularComplaintsOrDiseases_26";"RespiratoryComplaintsOrDiseases_27";"UrologicalComplaintsOrDiseases_28";"AllDiagnoses_29";"MalignantNeoplasms_30";"DiseasesOfTheCirculatorySystem_31";"DiseasesOfTheRespiratorySystem_32";"DiseasesOfTheDigestiveSystem_33";"DisMusculoskeletalSystAndConnectiv_34";"DiseasesOfTheGenitourinarySystem_35";"CertainConditionsInPerinatalPeriod_36";"InjuryPoisoningOtherExternalCauses_37";"SicknessAbsence_38";"AveragePeriodOfHospitalisation_39";"AllDrugs_40";"DiabetesDrugs_41";"BetaBlockingAgents_42";"LipidModifyingAgents_43";"Antibiotics_44";"Antidepressants_45";"DrugsForObstructiveAirwayDiseases_46";"GeneralPractitionerGP_47";"PhysiotherapistOrExerciseTherapist_48";"PersonsAged80OrOlder_49";"TotalResidentialCare_50";"NoCarePackageZzp_51";"NursingAndCare_52";"CareForTheDisabled_53";"MentalHealthCare_54";"TotalIndicationsResidentialCare_55";"SomaticCondition_56";"PsychogeriatricDisorder_57";"PsychiatricDisorder_58";"PhysicalDisability_59";"MentalDisability_60";"SensoryDisability_61";"TotalOfYouthCare0To23Year_62";"YouthAssistence0To23Year_63";"YouthProtection0To18Year_64";"JuvenileRehabilitation12To23Year_65";"Smokers_66";"HeavySmokers_67";"HeavyDrinkers12YearsOrOlder_68";"ComplyPhysicalActivityGuidelines4_69";"ModeratelyOverweight20_70";"SeriouslyOverweightObese20_71";"ModeratelyOverweight420Yrs_72";"SeriouslyOverweightObese420Yrs_73";"HighBloodPressure12YearsOrOlder_74";"PhysiciansEmployedInCare_75";"NursesEmployedInCare_76";"EmployedInHealthAndWelfare_77";"EmployedInHealthCare_78";"MboCaringGraduates_79";"MboNursingGraduates_80";"HboNursingGraduates_81";"MedicineGraduatesUniversity_82";"TotalExpenditureByCareProviders_83";"HospitalsAndMedicalSpecialists_84";"ProvidersOfLongTermCareForElderly_85";"ProvidersOfCareForTheHandicapped_86";"PrimaryCarePractices_87";"ProvidersOfMentalHealthCare_88";"OtherCareProviders_89";"PerCapitaCareExpenditure_90";"ExpenditureAsPercentageOfTheGDP_91";"GPPractice_92";"EmergencyGP_93";"Pharmacy_94";"HospitalInclOutpatientsClinic_95";"Physiotherapist_96";"Hospitals_97";"k_86104MentalHealthHospitals_98";"k_872087301CareForTheDisabled_99";"NursingHomesAndHomeCare_100";"Hospitals_101";"k_86104MentalHealthHospitals_102";"k_872087301CareForTheDisabled_103";"NursingHomesAndHomeCare_104"
"10";"2011JJ00";"    10.8";"    2365";"   37843";"    6110";"    81.3";"    25.7";"    22.8";"     8.0";"     3.1";"     0.4";"     654";"     1.0";"    1647";"     5.5";"     7.7";"    79.2";"    82.9";"    18.3";"    21.3";"    63.7";"    63.3";"    10.9";"    11.3";"    19.9";"       .";"       .";"       .";"       .";"    2552";"     214";"     240";"     133";"     205";"     251";"     117";"      49";"     125";"     4.2";"     5.3";"    68.7";"     4.5";"     9.8";"    10.2";"    23.2";"     5.6";"     9.3";"     4.3";"     3.7";"  667547";"     260";"      15";"     148";"      71";"      26";"     342";"     114";"      77";"      42";"      20";"      85";"       3";"       .";"       .";"       .";"       .";"25.6";"5.1";"     9.4";"       .";"36.8";"11.4";"10.1";"2.7";"    16.0";"47550";"182775";"1420";"546";"    5650";"    3940";"    2480";"    3741";"88.1";"22.6";"15.9";"9.0";"7.8";"6.4";"26.3";"5279";"13.6";"0.9";"6.0";"1.2";"4.8";".";"       6";"      17";"      17";"      17";"   106.8";"    87.5";"    73.7";"    69.9"
"11";"2012JJ00";"    10.5";"    2203";"   36167";"    5972";"    84.1";"    25.9";"    22.9";"     8.6";"     3.1";"     0.4";"     650";"     1.0";"    1753";"     5.3";"     7.6";"    79.1";"    82.8";"    18.3";"    21.2";"    64.7";"    62.6";"    11.2";"    11.2";"    19.9";"     235";"     257";"     324";"     109";"    2573";"     241";"     236";"     126";"     208";"     254";"     116";"      49";"     125";"     4.0";"     5.2";"    67.9";"     4.6";"     9.8";"    10.7";"    22.6";"     5.7";"     9.1";"     4.1";"     3.5";"  686015";"     261";"       6";"     154";"      73";"      28";"     354";"     114";"      80";"      46";"      21";"      90";"       3";"       .";"       .";"       .";"       .";"23.3";"4.0";"    12.9";"       .";"35.9";"12.0";"10.8";"2.4";"    15.1";"49170";"185830";"1436";"552";"    5830";"    3820";"    2438";"    3742";"90.6";"23.6";"17.2";"9.7";"7.9";"6.6";"25.6";"5409";"13.9";"0.9";"6.2";"1.2";"4.8";"0.8";"       8";"      16";"       5";"      13";"   111.5";"    90.3";"    78.5";"    72.6"
"12";"2013JJ00";"    10.2";"    1901";"   35186";"    5668";"    84.1";"    25.2";"    22.9";"     7.3";"     2.7";"     0.3";"     552";"     1.1";"    1857";"     5.1";"     7.1";"    79.4";"    83.0";"    18.4";"    21.4";"    64.6";"    63.5";"    11.5";"    11.6";"    19.7";"     234";"     254";"     324";"     114";"    2280";"     237";"     221";"     123";"     223";"     225";"     103";"      49";"     109";"     3.9";"     5.2";"    66.8";"     4.6";"     9.7";"    10.9";"    21.7";"     5.8";"     8.8";"     4.1";"     3.5";"  702820";"     249";"       3";"     145";"      74";"      28";"     334";"      89";"      81";"      47";"      20";"      93";"       3";"       .";"       .";"       .";"       .";"23.2";"3.8";"    12.4";"       .";"36.4";"11.8";"9.5";"2.3";"    15.3";"50565";"188375";"1427";"555";"    6070";"    4080";"    2308";"    3182";"91.0";"24.5";"17.3";"9.7";"7.8";"6.7";"24.9";"5413";"13.8";"0.9";"6.2";"1.2";"4.7";".";"      12";"      26";"      15";"      21";"   118.3";"    91.5";"    80.2";"    74.6"
"13";"2014JJ00";"    10.4";"    1796";"   36107";"    5989";"    82.5";"    25.5";"    22.4";"     6.2";"     2.6";"     0.3";"     545";"     1.1";"    1839";"     4.7";"     7.2";"    79.9";"    83.3";"    18.9";"    21.6";"    64.9";"    64.0";"    11.5";"    11.9";"    19.6";"     236";"     256";"     312";"     117";"    1974";"     219";"     199";"     115";"     215";"     184";"      92";"      50";"     107";"     3.8";"     5.2";"    66.4";"     4.7";"     9.6";"    11.2";"    20.9";"     5.9";"     8.8";"     4.9";"     3.5";"  717089";"     246";"       2";"     142";"      75";"      27";"     326";"      76";"      83";"      48";"      20";"      96";"       3";"       .";"       .";"       .";"       .";"24.2";"4.1";"     8.7";"       .";"36.7";"13.6";"9.2";"3.3";"    16.1";"51935";"161685";"1397";"558";"    7410";"    4190";"    2675";"    2800";"91.9";"24.9";"17.3";"9.9";"8.2";"6.7";"24.9";"5451";"13.7";"1.0";"6.2";"1.2";"4.7";".";"      17";"      26";"       8";"      21";"   119.2";"    89.8";"    82.7";"    76.2"
"14";"2015JJ00";"    10.1";"    1570";"   35721";"    5600";"    86.9";"    26.1";"    23.2";"     7.5";"     2.7";"     0.3";"     579";"     1.1";"    1871";"     4.6";"     7.0";"    79.7";"    83.1";"    18.6";"    21.4";"    64.6";"    63.2";"    11.7";"    12.2";"    20.5";"     239";"     259";"     330";"     119";"    1898";"     236";"     203";"     121";"     214";"     163";"      90";"      49";"     113";"     3.9";"     5.2";"    66.3";"     4.7";"     9.5";"    11.3";"    21.2";"     5.9";"     8.9";"     5.0";"     3.4";"  734976";"     215";"       1";"     132";"      75";"       7";"     278";"      67";"      84";"       9";"      20";"      95";"       3";"     8.5";"     8.1";"     1.2";"     0.5";"24.6";"3.8";"     9.5";"       .";"36.6";"13.7";"9.3";"2.8";"    16.1";"53350";"164755";"1378";"557";"    8260";"    4430";"    2875";"    2722";"92.3";"25.6";"17.2";"9.5";"8.3";"6.3";"25.4";"5450";"13.4";"1.0";"6.2";"1.2";"4.6";".";"      14";"      22";"      12";"      30";"   126.7";"    84.8";"    74.3";"    65.9"
"15";"2016JJ00";"    10.1";"    1492";"   37126";"    5860";"    87.5";"    26.6";"    22.7";"     7.0";"     2.7";"     0.4";"     604";"     1.1";"    1893";"     4.8";"     6.9";"    79.9";"    83.1";"    18.8";"    21.4";"    64.9";"    63.3";"    11.8";"    12.7";"    20.6";"     233";"     258";"     320";"     115";"    1884";"     246";"     206";"     119";"     216";"     156";"      87";"      49";"     114";"     3.9";"     5.2";"    66.2";"     4.7";"     9.4";"    11.5";"    20.6";"     5.9";"     8.8";"     5.2";"     3.8";"  748748";"     211";"       0";"     130";"      75";"       6";"     283";"      64";"      86";"       9";"      21";"     101";"       3";"     9.1";"     8.8";"     1.2";"     0.5";"22.7";"3.7";"     8.1";"       .";"35.8";"14.5";"10.6";"2.7";"    15.6";"54055";"167400";"1376";"561";"    7810";"    4380";"    3178";"    2621";"94.8";"26.4";"17.3";"9.9";"8.8";"6.5";"26.0";"5569";"13.4";"1.0";"6.2";"1.2";"4.7";".";"      11";"      25";"      17";"      40";"   130.1";"    86.6";"    76.7";"    68.6"
"16";"2017JJ00";"     9.9";"    1410";"   37049";"    5866";"    87.7";"    26.2";"    22.3";"     7.6";"     2.6";"     0.3";"     573";"     1.1";"    1917";"     4.8";"       .";"    80.1";"    83.3";"    19.0";"    21.5";"    65.0";"    63.8";"    12.2";"    13.2";"    20.7";"     244";"     265";"     329";"     119";"    1809";"     245";"     203";"     112";"     218";"     144";"      85";"      48";"     112";"     4.0";"     5.2";"    65.7";"     4.7";"     9.2";"    11.7";"    19.8";"     5.9";"     8.6";"     5.1";"     3.7";"  764275";"     211";"       0";"     130";"      75";"       6";"     292";"      61";"      88";"       8";"      23";"     109";"       3";"     9.4";"     9.2";"     1.2";"     0.4";"21.7";"3.3";"     8.6";"    46.5";"35.7";"14.2";"10.5";"2.8";"    16.8";"55285";"171695";"1403";"570";"    7650";"    5220";"    4052";"    2740";"97.0";"26.9";"17.9";"10.3";"8.8";"6.5";"26.5";"5661";"13.1";"1.0";".";"1.2";"4.7";".";"      14";"      21";"      15";"      21";"   130.5";"    89.7";"    78.2";"    72.0"
"17";"2018JJ00";"     9.8";"    1323";"   37094";"    5984";"    89.0";"    26.0";"    21.9";"     8.2";"     2.7";"     0.4";"     628";"     1.1";"    1829";"     4.9";"       .";"    80.2";"    83.3";"    19.0";"    21.5";"    64.2";"    62.7";"    12.0";"    12.6";"    21.7";"     247";"     266";"     336";"     121";"    1755";"     248";"     196";"     109";"     217";"     135";"      83";"      49";"     110";"     4.3";"     5.2";"    65.9";"     4.7";"     9.1";"    11.7";"    19.8";"     5.9";"     8.7";"     5.3";"     3.8";"  778914";"     212";"       0";"     132";"      75";"       5";"     297";"      59";"      92";"       6";"      25";"     111";"       3";"     9.7";"     9.4";"     1.2";"     0.4";"21.0";"3.1";"     8.5";"    46.8";"35.8";"15.4";"10.2";"2.6";"    16.4";"55515";"175025";"1439";"588";"    7050";"    5720";"    4449";"    2729";"101.0";"28.0";"19.0";"10.8";"9.2";"6.8";"27.3";"5863";"13.1";"1.0";"6.3";"1.2";"4.7";".";"      12";"      23";"      20";"      19";"   132.8";"    90.4";"    78.8";"    73.9"
"18";"2019JJ00";"     9.8";"    1259";"   38217";"    6184";"    87.1";"    25.9";"    21.5";"     7.2";"     2.7";"     0.4";"     617";"     1.0";"    1811";"     5.1";"       .";"    80.5";"    83.6";"    19.2";"    21.7";"    64.8";"    63.2";"    12.4";"    12.4";"    21.3";"     248";"     267";"     330";"     125";"    1757";"     262";"     198";"     108";"     222";"     133";"      83";"      50";"     109";"     4.4";"     5.2";"    65.4";"     4.7";"     9.0";"    11.7";"    19.2";"     6.0";"     8.7";"     5.2";"     3.5";"  798820";"     214";"       0";"     134";"      75";"       5";"     307";"      58";"      99";"       6";"      28";"     113";"       3";"    10.0";"     9.7";"     1.2";"     0.4";"20.4";"2.8";"     8.1";"    49.0";"36.0";"15.0";"11.6";"2.2";"    15.5";"56910";"171135";"1487";"593";"    6510";"    5870";"    4495";"    2675";"107.3";"29.4";"20.6";"11.6";"9.6";"7.2";"28.9";"6186";"13.2";"1.0";"6.3";"1.2";"4.8";".";"       .";"      25";"      20";"      22";"   136.5";"    94.2";"    81.8";"    75.8"
"19";"2020JJ00";"     9.7";"    1194";"   38427";"    6261";"    97.2";"    26.0";"    21.1";"     6.1";"     2.8";"     0.3";"     589";"     1.1";"    1823";"       .";"       .";"    79.7";"    83.1";"    18.5";"    21.2";"    66.4";"    65.8";"    12.7";"    13.4";"    18.5";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     4.7";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     5.1";"     3.1";"  822088";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     9.7";"     9.4";"     1.2";"     0.4";"18.9";"3.0";"     7.4";"    52.7";"36.8";"14.2";"12.5";"2.5";"    15.9";".";".";"1525";"607";"    5780";"    5970";"    4667";"    2560";"116.2";"31.2";"23.0";"12.6";"9.8";"7.9";"31.7";"6660";"14.5";".";".";".";".";".";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
